,Negative Acc,Negative F1,Negative Precision,Anti-Neagtive Acc,Anti-Negative F1,Anti-Negative Precision,Mean Acc
"['1PD', 'SPEED']",75.24%,60.75000000000001%,53.339999999999996%,83.33%,88.05%,93.78999999999999%,81.72%
"['1PF', 'SPEED']",73.7%,51.910000000000004%,40.61%,74.9%,82.71%,92.94%,74.85000000000001%
"['1QD', 'SPEED']",72.78999999999999%,59.29%,53.99%,83.34%,87.72999999999999%,93.49%,81.36%
"['1QF', 'SPEED']",74.28%,50.580000000000005%,39.290000000000006%,72.97%,81.34%,93.15%,73.4%
"['1PD', 'SIL_AVG']",73.85000000000001%,58.330000000000005%,50.67%,80.83%,86.18%,93.19%,79.4%
"['1PD', '1PF', 'SPEED']",75.59%,57.66%,47.81%,80.58%,86.53%,93.84%,79.66%
"['1PD', '1QF', 'SPEED']",71.72%,54.74%,47.77%,79.9%,85.57000000000001%,92.97%,78.32000000000001%
"['1PF', '1QD', 'SPEED']",75.22%,58.77%,49.16%,81.78999999999999%,87.27000000000001%,93.94%,80.71000000000001%
"['1QD', '1QF', 'SPEED']",77.74%,56.10000000000001%,44.75%,77.38000000000001%,84.73%,94.28999999999999%,77.56%
"['1PD', 'SPEED', 'PS_WORD']",74.38%,58.9%,50.629999999999995%,82.35%,87.44%,93.65%,80.84%
"['1PD', '1PF', 'SIL_AVG']",76.71%,57.82000000000001%,47.760000000000005%,79.93%,86.21%,94.13%,79.36999999999999%
"['1PD', '1QF', 'SIL_AVG']",72.99%,55.34%,48.63%,79.35%,85.21%,93.32000000000001%,78.09%
"['1PD', 'SPEED', 'SIL_AVG']",73.37%,57.709999999999994%,49.3%,82.59%,87.52%,93.58%,80.86%
"['1QD', 'SPEED', 'SIL_AVG']",75.92%,60.370000000000005%,52.410000000000004%,82.89%,87.8%,94.17999999999999%,81.55%
"['1PD', 'SPEED', 'PS_WORD', 'SIL_AVG']",68.08999999999999%,59.089999999999996%,54.32%,85.77%,88.74%,92.38%,82.43%
"['1QD', 'SPEED', 'PS_WORD', 'SIL_AVG']",73.41%,61.08%,54.67999999999999%,84.75%,88.78%,93.75%,82.74000000000001%
"['1PD', '1PF', 'SPEED', 'SIL_AVG']",75.36%,60.14000000000001%,51.65%,83.1%,87.99%,93.94%,81.65%
"['1PD', '1QF', 'SPEED', 'SIL_AVG']",75.55%,58.19%,49.68%,80.87%,86.58%,93.99%,79.9%
"['1PD', '1PF', 'SPEED', 'PS_WORD', 'SIL_AVG']",74.77000000000001%,60.6%,53.59%,83.66%,88.2%,93.89%,82.0%
"['1PD', '1QF', 'SPEED', 'PS_WORD', 'SIL_AVG']",74.17%,58.8%,51.080000000000005%,82.38%,87.38%,93.65%,80.83%
"['1PF', '1QD', 'SPEED', 'PS_WORD', 'SIL_AVG']",78.85%,60.919999999999995%,51.24999999999999%,81.95%,87.69%,94.89999999999999%,81.47%
"['1QD', '1QF', 'SPEED', 'PS_WORD', 'SIL_AVG']",76.53999999999999%,59.709999999999994%,49.8%,81.89999999999999%,87.46000000000001%,94.28%,81.05%
"['1PD', '1PF', '1QF', 'SPEED', 'SIL_AVG']",78.34%,59.46%,48.91%,80.83%,87.0%,94.53%,80.43%
"['1PD', '1QD', 'SPEED', 'SIL_AVG']",69.23%,60.28%,57.830000000000005%,86.3%,89.07000000000001%,92.80000000000001%,83.02000000000001%
"['1PD', '1PF', '1QF', 'SIL_AVG']",78.82000000000001%,55.78999999999999%,44.32%,76.74%,84.47%,94.51%,77.21000000000001%
"['1PD', '1PF', '1QD', 'SPEED', 'PS_WORD', 'SIL_AVG']",73.92999999999999%,60.650000000000006%,54.93%,83.78999999999999%,88.17%,93.77%,82.0%
"['1PD', '1PF', '1QD', '1QF', 'SPEED']",74.06%,56.71000000000001%,47.64%,80.17999999999999%,85.95%,93.47%,78.99000000000001%
"['1PD', '1QD', '1QF', 'SPEED', 'PS_WORD', 'SIL_AVG']",79.3%,58.879999999999995%,47.85%,79.51%,86.22999999999999%,94.69%,79.49000000000001%
"['1PD', '1PF', '1QF', 'SPEED', 'PS_WORD', 'SIL_AVG']",75.75%,58.79%,49.02%,81.46%,87.12%,93.91000000000001%,80.47999999999999%
"['1PD', '1PF', '1QD', '1QF', 'PS_WORD', 'SIL_AVG']",78.48%,57.809999999999995%,47.5%,78.55%,85.45%,94.58%,78.61%
"['1PD', '1PF', '1QD', '1QF', 'SPEED', 'SIL_AVG']",74.83%,60.28%,52.980000000000004%,83.24000000000001%,87.98%,93.93%,81.72%
"['1PD', '1PF', '1QD', '1QF', 'SPEED', 'PS_WORD']",79.49000000000001%,58.91%,48.43%,79.06%,85.86%,94.83%,79.2%
"['1PD', '1PF', '1QD', '1QF', 'SPEED', 'PS_WORD', 'SIL_AVG']",76.12%,58.589999999999996%,48.8%,81.02000000000001%,86.87%,94.16%,80.24%
